,word,count
0,佛山,266
1,大连,161
2,上海,2447
3,深圳,2219
4,重庆,377
5,珠海,213
6,杭州,1060
7,成都,1007
8,福州,159
9,武汉,1344
10,合肥,416
11,东莞,217
12,唐山,12
13,无锡,345
14,南昌,158
15,广州,2146
16,银川,6
17,镇江,26
18,南宁,89
19,北京,760
20,长沙,440
21,青岛,101
22,宿迁,31
23,南通,78
24,苏州,501
25,南京,1076
26,惠州,112
27,西安,355
28,湘潭,5
29,荆门,4
30,天津,97
31,常州,151
32,宁波,349
33,沈阳,89
34,嘉兴,110
35,盐城,32
36,江西省,4
37,昆山,71
38,江门,12
39,太原,27
40,徐州,29
41,邢台,6
42,亳州,3
43,池州,3
44,连云港,20
45,济南,91
46,厦门,112
47,威海,21
48,益阳,4
49,昆明,210
50,哈尔滨,51
51,扬州,25
52,宜昌,23
53,石家庄,50
54,泰州,19
55,湖州,11
56,海口,31
57,温州,40
58,绵阳,7
59,临沂,12
60,桂林,10
61,泰安,7
62,郑州,153
63,汕头,8
64,乌鲁木齐,29
65,肇庆,19
66,常熟,18
67,泉州,17
68,兰州,17
69,柳州,14
70,长春,25
71,贵阳,41
72,运城,3
73,金华,25
74,芜湖,24
75,盘锦,4
76,阳泉,3
77,拉萨,4
78,潍坊,15
79,中山,59
80,福建省,4
81,秦皇岛,3
82,海宁,7
83,新乡,4
84,绍兴,23
85,莆田,10
86,淮安,16
87,宜宾,8
88,河源,3
89,汕尾,4
90,黄石,12
91,台州,7
92,韶关,4
93,洛阳,11
94,日照,5
95,泸州,9
96,襄阳,15
97,雄安,6
98,新区,6
99,西宁,4
100,清远,9
101,江苏省,3
102,呼和浩特,24
103,周口,3
104,茂名,4
105,保定,6
106,十堰,4
107,滁州,5
108,聊城,7
109,九江,5
110,自贡,7
111,浙江省,4
112,张家港,17
113,曲靖,3
114,张家界,3
115,信阳,4
116,衢州,5
117,梅州,8
118,广东省,9
119,景德镇,4
120,鞍山,4
121,株洲,10
122,南阳,3
123,湛江,12
124,烟台,16
125,枣庄,4
126,漳州,6
127,衡阳,4
128,东营,4
129,营口,4
130,锦州,3
131,云浮,5
132,济宁,2
133,赣州,7
134,常德,2
135,新余,3
136,普洱,2
137,山东省,1
138,巴音郭楞,1
139,大庆,1
140,乌兰察布,1
141,宁德,1
142,舟山,1
143,玉林,1
144,安顺,1
145,吉安,1
146,钦州,1
147,四川省,1
